Datetime,Nifty 50 (IN),S&P 500 (US),Nikkei 225 (JP),Hang Seng (HK),FTSE 100 (UK),DAX (DE),KOSPI (KR),Shanghai (CN)
2026-03-31 01:30:00+00:00,,,,24947.240234375,,,,
2026-03-31 01:35:00+00:00,,,,24969.609375,,,,
2026-03-31 01:40:00+00:00,,,,24929.330078125,,,,
2026-03-31 01:45:00+00:00,,,,24842.630859375,,,,
2026-03-31 01:50:00+00:00,,,,24837.76953125,,,,
2026-03-31 01:55:00+00:00,,,,24812.240234375,,,,
2026-03-31 02:00:00+00:00,,,,24778.619140625,,,,
2026-03-31 02:05:00+00:00,,,,24838.490234375,,,,
2026-03-31 02:10:00+00:00,,,,24850.580078125,,,,
2026-03-31 02:15:00+00:00,,,,24866.220703125,,,,
2026-03-31 02:20:00+00:00,,,,24837.619140625,,,,
2026-03-31 02:25:00+00:00,,,,24824.140625,,,,
2026-03-31 02:30:00+00:00,,,,24742.19921875,,,,
2026-03-31 02:35:00+00:00,,,,24758.619140625,,,,
2026-03-31 02:40:00+00:00,,,,24714.75,,,,
2026-03-31 02:45:00+00:00,,,,24724.009765625,,,,
2026-03-31 02:50:00+00:00,,,,24734.169921875,,,,
2026-03-31 02:55:00+00:00,,,,24687.9609375,,,,
2026-03-31 03:00:00+00:00,,,,24690.48046875,,,,
2026-03-31 03:05:00+00:00,,,,24707.580078125,,,,
2026-03-31 03:10:00+00:00,,,,24680.599609375,,,,
2026-03-31 03:15:00+00:00,,,,24654.4296875,,,,
2026-03-31 03:20:00+00:00,,,,24661.48046875,,,,
2026-03-31 03:25:00+00:00,,,,24652.0703125,,,,
2026-03-31 03:30:00+00:00,,,,24655.529296875,,,,
2026-03-31 03:35:00+00:00,,,,24657.919921875,,,,
2026-03-31 03:40:00+00:00,,,,24641.2109375,,,,
2026-03-31 03:45:00+00:00,,,,24624.759765625,,,,
2026-03-31 03:50:00+00:00,,,,24630.75,,,,
2026-03-31 03:55:00+00:00,,,,24624.1796875,,,,
2026-03-31 04:00:00+00:00,,,,24623.94921875,,,,
2026-03-31 04:05:00+00:00,,,,24624.55078125,,,,
2026-03-31 05:00:00+00:00,,,,24666.3203125,,,,
2026-03-31 05:05:00+00:00,,,,24597.98046875,,,,
2026-03-31 05:10:00+00:00,,,,24580.970703125,,,,
2026-03-31 05:15:00+00:00,,,,24612.48046875,,,,
2026-03-31 05:20:00+00:00,,,,24638.9609375,,,,
2026-03-31 05:25:00+00:00,,,,24644.26953125,,,,
2026-03-31 05:30:00+00:00,,,,24676.880859375,,,,
2026-03-31 05:35:00+00:00,,,,24660.26953125,,,,
2026-03-31 05:40:00+00:00,,,,24654.720703125,,,,
2026-03-31 05:45:00+00:00,,,,24734.630859375,,,,
2026-03-31 05:50:00+00:00,,,,24715.94921875,,,,
2026-03-31 05:55:00+00:00,,,,24703.330078125,,,,
2026-03-31 06:00:00+00:00,,,,24678.30078125,,,,
2026-03-31 06:05:00+00:00,,,,24684.740234375,,,,
2026-03-31 06:10:00+00:00,,,,24653.509765625,,,,
2026-03-31 06:15:00+00:00,,,,24645.060546875,,,,
2026-03-31 06:20:00+00:00,,,,24653.25,,,,
2026-03-31 06:25:00+00:00,,,,24662.349609375,,,,
2026-03-31 06:30:00+00:00,,,,24660.44921875,,,,
2026-03-31 06:35:00+00:00,,,,24642.150390625,,,,
2026-03-31 06:40:00+00:00,,,,24651.25,,,,
